Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,BT1901,CR1616,Device:Battery_Cell,,~,,,Backup_RTC,,,P034-ND,,,,,,,
,,BT1902,CR1616_Holder,Device:Battery_Cell,Custom Footprints Library:BAT_BU1632SM-JJ-GTR,~,,,Backup_RTC,,,BU1632SM-JJ-GCT-ND,,,,,,,
,,BZ1801,CST-931RP-A,Device:Buzzer,Buzzer_Beeper:MagneticBuzzer_CUI_CST-931RP-A,~,,,,,,102-1461-ND,,,,,,,
,,C201,10nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7842-1-ND,,,,,50V,,603
,,C202,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-7845-1-ND,,,,,50V,,603
,,C205,100uF,Custom_Library:CP_Tant_Custom,Capacitors_Tantalum_SMD:CP_Tantalum_Case-X_EIA-7343-43_Reflow,,,,,,,718-1102-1-ND,,,,10%,16V,,7343
,,C301,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C302,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C303,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C401,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-7031-1-ND,,,,,25V,,1206
,,C402,10nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,1276-1921-1-ND,,,,,50V,,603
,,C403,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,490-8020-1-ND,,,,,50V,,603
,,C404,22uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-3148-1-ND,,,,,10V,,1206
,,C405,22uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-3148-1-ND,,,,,10V,,1206
,,C406,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,490-8020-1-ND,,,,,50V,,603
,,C503,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C504,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C505,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C601,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-7031-1-ND,,,,,25V,,1206
,,C602,10nF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,1276-1921-1-ND,,,,,50V,,603
,,C603,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,490-8020-1-ND,,,,,50V,,603
,,C604,22uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-3148-1-ND,,,,,10V,,1206
,,C605,22uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-3148-1-ND,,,,,10V,,1206
,,C606,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,490-8020-1-ND,,,,,50V,,603
,,C703,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C704,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C705,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C801,10uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-7031-1-ND,,,,,25V,,1206
